,Job Activity,0,10,15,19,24,27
0,"Mining, logging, construction",0.05283273381294964,0.045454545454545456,0.052353896103896104,0.0601577909270217,0.0770143612380325,0.08983146766562328
1,Manufacturing,0.08026079136690648,0.06785558938668987,0.06635551948051949,0.06627218934911243,0.06929469114658812,0.0723337378377567
2,"Trade, transportation, and utilities",0.24303057553956833,0.20465419747716398,0.1992694805194805,0.18954635108481263,0.1888961819826206,0.18997478283435418
3,Information,0.03439748201438849,0.02435841670291431,0.02353896103896104,0.020710059171597635,0.020814874310696375,0.02119596253710191
4,Financial activities,0.08048561151079137,0.0880817746846455,0.08563311688311688,0.09072978303747535,0.09066254704875602,0.09108511470720937
5,Professional and business services,0.1357913669064748,0.13810352327098738,0.14935064935064934,0.14418145956607495,0.14886101784405656,0.15024288472733063
6,Education and health services,0.12410071942446044,0.15550239234449761,0.1544237012987013,0.15719921104536488,0.14747243556092124,0.13913002298418933
7,Leisure and hospitality,0.09240107913669064,0.09525880817746847,0.09821428571428571,0.10256410256410256,0.10858218337308644,0.11298827906790976
8,Other services,0.03237410071942446,0.03871248368856024,0.037134740259740256,0.036686390532544376,0.0324504062783997,0.029147006493503505
9,Government,0.12432553956834533,0.1420182688125272,0.13372564935064934,0.1319526627218935,0.11595130121684187,0.10407074114502056
