,Job Activity,0,10,15,19,24,27
0,"Mining, logging, construction",0.0409804672539257,0.037227722772277226,0.03941267387944358,0.03986332574031891,0.043732123613718234,0.04655801615502217
1,Manufacturing,0.17464572960551514,0.1100990099009901,0.10432766615146831,0.10858010630220197,0.13082734912188765,0.15171325921741227
2,"Trade, transportation, and utilities",0.21294523171198773,0.23326732673267328,0.24188562596599691,0.24107820804859528,0.24100589471192763,0.23876419960161327
3,Information,0.02680965147453083,0.019801980198019802,0.013523956723338485,0.011009870918754746,0.005175347423021458,0.001727155722994804
4,Financial activities,0.052470317885867486,0.04910891089108911,0.04868624420401855,0.04973424449506454,0.05158976355889749,0.05329719772886448
5,Professional and business services,0.08808885484488702,0.09900990099009901,0.1151468315301391,0.10744115413819286,0.11110179075385235,0.11041185779673762
6,Education and health services,0.17349674454232095,0.20673267326732672,0.20054095826893353,0.20956719817767655,0.20049446134994658,0.19385574618335455
7,Leisure and hospitality,0.07276905400229797,0.08633663366336633,0.09003091190108192,0.08921791951404708,0.08695945998708154,0.08405611706848644
8,Other services,0.038299502106472615,0.03287128712871287,0.03284389489953632,0.033409263477600606,0.0359159195737576,0.038107684340402306
9,Government,0.11949444657219456,0.12554455445544555,0.11360123647604328,0.11009870918754745,0.09319788990590916,0.08150876618511166
