,Job Activity,19,20,21,24,27
0,"Mining, logging, construction",0.03986332574031891,0.040098199672667756,0.04158255954784013,0.053532554830298396,0.0767279235981686
1,Manufacturing,0.10858010630220197,0.11006546644844517,0.10981025433992733,0.09860118448580873,0.07172696433884057
2,"Trade, transportation, and utilities",0.24107820804859528,0.2532733224222586,0.25797335486475576,0.2271029606052477,0.12877682896524512
3,Information,0.011009870918754746,0.010638297872340425,0.010092854259184497,0.0074133000192670145,0.0031689106786750697
4,Financial activities,0.04973424449506454,0.05319148936170213,0.05248284214775938,0.02536154802244972,-0.0392527748280832
5,Professional and business services,0.10744115413819286,0.10433715220949263,0.10536939846588615,0.1332836263456283,0.19842408789121402
6,Education and health services,0.20956719817767655,0.2107201309328969,0.20387565603552685,0.13535778542787114,-0.0051367540530975475
7,Leisure and hospitality,0.08921791951404708,0.07283142389525368,0.07347597900686315,0.17759594872411144,0.4349953750149873
8,Other services,0.033409263477600606,0.030687397708674305,0.03108599111828825,0.05100452641837139,0.09900719432531657
9,Government,0.11009870918754745,0.11415711947626841,0.11425111021396851,0.09074656512094337,0.03156224406873065
