,Job Activity,19,20,21,24,27
0,"Mining, logging, construction",0.0733652312599681,0.05612244897959184,0.07427536231884058,0.3411082760543458,0.9265024503664705
1,Manufacturing,0.07814992025518341,0.08163265306122448,0.10326086956521739,0.27701842126491183,0.6140853262461716
2,"Trade, transportation, and utilities",0.012759170653907496,0.02040816326530612,0.025362318840579712,0.024055763349649872,-0.0015043254664049988
3,Information,0.06220095693779904,0.061224489795918366,0.07246376811594203,0.17947607584743475,0.3964300927360678
4,Financial activities,0.056379585326953745,0.06964285714285715,0.05516304347826087,-0.15473491039852405,-0.6143206335998048
5,Professional and business services,0.10470494417862838,0.12933673469387755,0.10244565217391305,-0.28736483359731047,-1.1408811766854488
6,Education and health services,0.17304625199362042,0.19642857142857142,0.17572463768115942,-0.15090468265524848,-0.8743102816329227
7,Leisure and hospitality,0.20733652312599682,0.1360544217687075,0.1721014492753623,0.9242173049790239,2.6422953204581745
8,Other services,0.05901116427432217,0.05272108843537415,0.043478260869565216,-0.0019667321890259326,-0.07398649078936587
9,Government,0.17304625199362042,0.19642857142857142,0.17572463768115942,-0.15090468265524848,-0.8743102816329227
