,Job Activity,0,10,15,19,24,27
0,"Mining, logging, construction",0.06107374489550805,0.05014094644035266,0.05670567056705671,0.06114625263561434,0.07567782092315914,0.08663401593823984
1,Manufacturing,0.127792457362479,0.10016193846338392,0.09964525864351141,0.08831704044470001,0.08676416740704802,0.08585229043821255
2,"Trade, transportation, and utilities",0.19553206822003363,0.18089126132069813,0.18764229364112883,0.19072263753114818,0.20544394709485728,0.21655751066590576
3,Information,0.047742012971414845,0.05260001199544173,0.051622809339757506,0.06152961472110408,0.0685721499486812,0.07472527453133183
4,Financial activities,0.06113379774201297,0.05523900917651293,0.05077566580187431,0.04859114433582519,0.04438535877790219,0.04189437867843477
5,Professional and business services,0.13241652654335814,0.13236969951418462,0.1422142214221422,0.144767107533065,0.15657042303510013,0.1643469848264953
6,Education and health services,0.110317079029546,0.13884723804954116,0.1330544819187801,0.13561433774199733,0.1222786605110134,0.11197779951788395
7,Leisure and hospitality,0.08755705020417968,0.09338451388472381,0.09805686450998041,0.09957830170596128,0.10335414905912592,0.10543299060346492
8,Other services,0.03471054527984627,0.037905595873568045,0.0371684227246254,0.03771324516005367,0.036390055328718356,0.03540125840716903
9,Government,0.14172471775162143,0.158459785281593,0.14311431143114312,0.13202031819053095,0.10056326791439439,0.0771774963928621
