Population,864122
Age,
Median,38
Percentage below 20,23.4
Percentage 20-29,16.2
Educational attainment,
Less than high school diploma (NQF level 1 or less),19.00%
High school (NQF level 2-3),39.80%
Some college (NQF level 4-5),13.70%
Bachelor's degree (NQF level 6),13.70%
Post-graduate degree  (NQF level 7-8),13.70%
Commute,
Mean travel time to work (minutes),29
Percent who Worked at Home,11.62%
Household Income,
Percent under $35k (£26k),30.00%
Percent $35k--$65k  (£26k--£48k),36.00%
Percent $65k--$131k  (£48k--£96k),27%
Percent over $131k (£96k),7.00%
