Population,949726
Age,
Median,36.1
Percentage below 20,28%
Percentage 20-29,13%
Educational attainment,
Less than high school diploma (NQF level 1 or less),7.30%
High school (NQF level 2-3),24.20%
Some college (NQF level 4-5),31.00%
Bachelor's degree (NQF level 6),24.60%
Post-graduate degree  (NQF level 7-8),13.10%
Commute,
Mean travel time to work (minutes),21.1
Percent who Worked at Home,4.90%
Household Income,
Percent under $50k (£37k),34.50%
Percent $50k--$100k (£37k--£74k),33.80%
Percent $100--$200k  (£74k--£148k),25%
Percent over $200k (£148k),6.60%
