,Job Activity,2005,2010,2015,2019,2020,2021
0,"Mining, logging, construction",0.07427536231884058,0.0626118067978533,0.07640067911714771,0.0733652312599681,0.05612244897959184,0.07427536231884058
1,Manufacturing,0.10326086956521739,0.07692307692307693,0.059422750424448216,0.07814992025518341,0.08163265306122448,0.10326086956521739
2,"Trade, transportation, and utilities",0.025362318840579712,0.016100178890876567,0.023769100169779286,0.012759170653907496,0.02040816326530612,0.025362318840579712
3,Information,0.07246376811594203,0.07871198568872988,0.06451612903225806,0.06220095693779904,0.061224489795918366,0.07246376811594203
4,Financial activities,0.05516304347826087,0.05259391771019678,0.06298811544991512,0.056379585326953745,0.06964285714285715,0.05516304347826087
5,Professional and business services,0.10244565217391305,0.09767441860465116,0.11697792869269949,0.10470494417862838,0.12933673469387755,0.10244565217391305
6,Education and health services,0.17572463768115942,0.17531305903398928,0.17911714770797962,0.17304625199362042,0.19642857142857142,0.17572463768115942
7,Leisure and hospitality,0.1721014492753623,0.19320214669051877,0.19015280135823429,0.20733652312599682,0.1360544217687075,0.1721014492753623
8,Other services,0.043478260869565216,0.07155635062611806,0.04753820033955857,0.05901116427432217,0.05272108843537415,0.043478260869565216
9,Government,0.17572463768115942,0.17531305903398928,0.17911714770797962,0.17304625199362042,0.19642857142857142,0.17572463768115942
